,Displacement,Horse power,Weight,Fuel consumption,Acceleration
350,107,75,2210,33.7,14.4
351,108,75,2350,32.4,16.8
352,119,100,2615,32.9,14.8
353,120,74,2635,31.6,18.3
354,141,80,3230,28.1,20.4
355,145,76,3160,30.7,19.6
356,168,116,2900,25.4,12.6
357,146,120,2930,24.2,13.8
358,231,110,3415,22.4,15.8
359,350,105,3725,26.6,19
360,200,88,3060,20.2,17.1
361,225,85,3465,17.6,16.6
362,112,88,2605,28,19.6
363,112,88,2640,27,18.6
364,112,88,2395,34,18
365,112,85,2575,31,16.2
366,135,84,2525,29,16
367,151,90,2735,27,18
368,140,92,2865,24,16.4
369,105,74,1980,36,15.3
370,91,68,2025,37,18.2
371,91,68,1970,31,17.6
372,105,63,2125,38,14.7
373,98,70,2125,36,17.3
374,120,88,2160,36,14.5
375,107,75,2205,36,14.5
376,108,70,2245,34,16.9
377,91,67,1965,38,15
378,91,67,1965,32,15.7
379,91,67,1995,38,16.2
380,181,110,2945,25,16.4
381,262,85,3015,38,17
382,156,92,2585,26,14.5
383,232,112,2835,22,14.7
384,144,96,2665,32,13.9
385,135,84,2370,36,13
386,151,90,2950,27,17.3
387,140,86,2790,27,15.6
388,97,52,2130,44,24.6
389,135,84,2295,32,11.6
390,120,79,2625,28,18.6
391,119,82,2720,31,19.4
